hour,CDC1_JBJ1_runtime_h,CDC1_JBJ1_power_kW,CDC1_JBJ1_energy_kWh,CDC1_JBJ1_carbon_kg,CDC1_JBJ2_runtime_h,CDC1_JBJ2_power_kW,CDC1_JBJ2_energy_kWh,CDC1_JBJ2_carbon_kg,CDC2_JBJ1_runtime_h,CDC2_JBJ1_power_kW,CDC2_JBJ1_energy_kWh,CDC2_JBJ1_carbon_kg,CDC2_JBJ2_runtime_h,CDC2_JBJ2_power_kW,CDC2_JBJ2_energy_kWh,CDC2_JBJ2_carbon_kg,CDC_GNJ1_runtime_h,CDC_GNJ1_power_kW,CDC_GNJ1_energy_kWh,CDC_GNJ1_carbon_kg,CDC_GNJ2_runtime_h,CDC_GNJ2_power_kW,CDC_GNJ2_energy_kWh,CDC_GNJ2_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,683.5663841807909,1131.4285714285716,1074.1757465698145,566.1980360169492,683.5330508474576,1131.4285714285716,1074.1233656174336,566.1704260169492,683.5330508474576,1131.4285714285716,1074.1233656174336,566.1704260169492,683.5497175141243,1131.4285714285716,1074.149556093624,566.1842310169493,0.0,3552.0,0.0,0.0,0.0,3552.0,0.0,0.0,4296.572033898306,2264.723119067797
2025-07-31 00:00:00+00:00,570.75,897.2857142857144,896.8928571428572,472.75222500000007,570.75,897.2857142857144,896.8928571428572,472.75222500000007,570.75,897.2857142857144,896.8928571428572,472.75222500000007,570.75,897.2857142857144,896.8928571428572,472.75222500000007,0.0,2816.9333333333334,0.0,0.0,0.0,2816.9333333333334,0.0,0.0,3587.571428571429,1891.0089000000005
2025-08-31 00:00:00+00:00,743.9833333333333,1169.142857142857,1169.1166666666668,616.2413950000001,743.5833333333334,1169.142857142857,1168.4880952380954,615.9100750000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,0.0,3670.4,0.0,0.0,0.0,3670.4,0.0,0.0,4675.890476190477,2464.6618700000004
2025-09-30 00:00:00+00:00,697.85,1131.4285714285716,1096.6214285714286,578.0291550000001,697.8666666666667,1131.4285714285716,1096.6476190476192,578.0429600000001,629.0333333333333,1131.4285714285716,988.4809523809524,521.0283100000001,629.0333333333333,1131.4285714285716,988.4809523809524,521.0283100000001,0.0,3552.0,0.0,0.0,0.0,3552.0,0.0,0.0,4170.230952380953,2198.128735
2025-10-31 00:00:00+00:00,704.8833333333333,1134.571428571429,1107.6738095238095,583.8548650000001,704.8833333333333,1134.571428571429,1107.6738095238095,583.8548650000001,704.8833333333333,1134.571428571429,1107.6738095238095,583.8548650000001,704.8833333333333,1134.571428571429,1107.6738095238095,583.8548650000001,0.0,3561.866666666667,0.0,0.0,0.0,3561.866666666667,0.0,0.0,4430.695238095239,2335.4194600000005
2025-11-30 00:00:00+00:00,672.0,1056.0000000000002,1056.0000000000002,556.6176000000002,672.0,1056.0000000000002,1056.0000000000002,556.6176000000002,672.0,1056.0000000000002,1056.0000000000002,556.6176000000002,672.0,1056.0000000000002,1056.0000000000002,556.6176000000002,0.0,3315.2000000000003,0.0,0.0,0.0,3315.2000000000003,0.0,0.0,4224.000000000001,2226.4704000000006
2025-12-31 00:00:00+00:00,744.0,1169.142857142857,1169.142857142857,616.2552000000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,743.6666666666666,1169.142857142857,1168.6190476190477,615.9791000000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,0.0,3670.4,0.0,0.0,0.0,3670.4,0.0,0.0,4676.047619047619,2464.7447000000006
2026-01-31 00:00:00+00:00,744.0,1169.142857142857,1169.142857142857,616.2552000000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,744.0,1169.142857142857,1169.142857142857,616.2552000000001,0.0,3670.4,0.0,0.0,0.0,3670.4,0.0,0.0,4676.571428571429,2465.0208
2026-02-28 00:00:00+00:00,669.8333333333334,1056.0000000000002,1052.5952380952383,554.8229500000001,669.8333333333334,1056.0000000000002,1052.5952380952383,554.8229500000001,669.8333333333334,1056.0000000000002,1052.5952380952383,554.8229500000001,669.8333333333334,1056.0000000000002,1052.5952380952383,554.8229500000001,0.0,3315.2000000000003,0.0,0.0,0.0,3315.2000000000003,0.0,0.0,4210.380952380953,2219.2918000000004
2026-03-31 00:00:00+00:00,716.05,1169.142857142857,1125.2214285714288,593.1042150000001,716.0666666666667,1169.142857142857,1125.247619047619,593.1180200000001,716.0666666666667,1169.142857142857,1125.247619047619,593.1180200000001,716.05,1169.142857142857,1125.2214285714288,593.1042150000001,0.0,3670.4,0.0,0.0,0.0,3670.4,0.0,0.0,4500.938095238096,2372.4444700000004
2026-04-30 00:00:00+00:00,657.5,1131.4285714285716,1033.2142857142858,544.6072500000001,658.1333333333333,1131.4285714285716,1034.209523809524,545.1318400000001,658.1666666666666,1131.4285714285716,1034.2619047619048,545.1594500000001,657.5,1131.4285714285716,1033.2142857142858,544.6072500000001,0.0,3552.0,0.0,0.0,0.0,3552.0,0.0,0.0,4134.900000000001,2179.50579
2026-05-31 00:00:00+00:00,241.2333333333333,380.28571428571433,379.08095238095245,199.81357000000003,241.2333333333333,380.28571428571433,379.08095238095245,199.81357000000003,241.21666666666667,380.28571428571433,379.054761904762,199.79976500000004,241.21666666666667,380.28571428571433,379.054761904762,199.79976500000004,0.0,1193.8666666666668,0.0,0.0,0.0,1193.8666666666668,0.0,0.0,1516.2714285714287,799.2266700000001
