hour,SLC_WP1_runtime_h,SLC_WP1_power_kW,SLC_WP1_energy_kWh,SLC_WP1_carbon_kg,SLC_WP2_runtime_h,SLC_WP2_power_kW,SLC_WP2_energy_kWh,SLC_WP2_carbon_kg,SLC_WP3_runtime_h,SLC_WP3_power_kW,SLC_WP3_energy_kWh,SLC_WP3_carbon_kg,SLC_WP4_runtime_h,SLC_WP4_power_kW,SLC_WP4_energy_kWh,SLC_WP4_carbon_kg,SLC_FAN1_runtime_h,SLC_FAN1_power_kW,SLC_FAN1_energy_kWh,SLC_FAN1_carbon_kg,SLC_FAN2_runtime_h,SLC_FAN2_power_kW,SLC_FAN2_energy_kWh,SLC_FAN2_carbon_kg,SLC_FAN3_runtime_h,SLC_FAN3_power_kW,SLC_FAN3_energy_kWh,SLC_FAN3_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,61.85254237288135,2687.9999999999995,230.9161581920904,121.71590698305084,26.451129943502824,2687.9999999999995,98.75088512241054,52.05159154802259,0.0,2687.9999999999995,0.0,0.0,18.667514124293785,2687.9999999999995,69.69205273069679,36.73468099435028,45.801977401129946,4000.0,254.45543000627745,134.12345715630886,45.28531073446328,4000.0,251.5850596359071,132.61048493408663,0.0,4000.0,0.0,0.0,905.3995856873822,477.2361216158192
2025-07-31 00:00:00+00:00,24.688235294117646,2131.733333333333,92.16941176470588,48.58249694117647,22.440196078431374,2131.733333333333,83.77673202614378,44.15871545098039,21.050980392156863,2131.733333333333,78.59032679738561,41.42496125490196,14.458823529411765,2131.733333333333,53.979607843137245,28.452651294117643,29.183238456672992,3172.222222222222,162.1291025370722,85.45824994729074,10.683333333333334,3172.222222222222,59.351851851851855,31.28436111111111,31.733238456672996,3172.222222222222,176.29576920373884,92.92549994729076,706.2928020240354,372.28693594686905
2025-08-31 00:00:00+00:00,30.78333333333333,2777.6,114.92444444444445,60.57667466666666,31.633333333333333,2777.6,118.09777777777776,62.24933866666666,30.33333333333333,2777.6,113.24444444444444,59.69114666666666,19.9,2777.6,74.29333333333332,39.160016,38.18333333333334,4133.333333333333,212.1296296296296,111.81352777777778,20.133333333333333,4133.333333333333,111.85185185185183,58.95711111111111,37.38333333333333,4133.333333333333,207.6851851851852,109.4708611111111,952.2266666666666,501.918676
2025-09-30 00:00:00+00:00,28.666666666666668,2687.9999999999995,107.0222222222222,56.41141333333333,28.685593220338983,2687.9999999999995,107.0928813559322,56.44865776271186,29.28446327683616,2687.9999999999995,109.3286629001883,57.62713821468926,18.084180790960453,2687.9999999999995,67.51427495291901,35.586774327683614,29.583333333333336,4000.0,164.35185185185185,86.62986111111111,29.75169491525424,4000.0,165.28719397363466,87.12287994350282,30.13502824858757,4000.0,167.41682360326428,88.2454077212806,888.0139108600125,468.0721324143126
2025-10-31 00:00:00+00:00,26.94160688928884,2725.333333333333,100.581999053345,53.01677170101815,38.560507759660304,2725.333333333333,143.95922896939845,75.88090958976993,30.973269153578222,2725.333333333333,115.6335381733587,60.95043797117737,21.62444181657201,2725.333333333333,80.73124944853548,42.55344158432305,32.05895130265768,4055.555555555555,178.10528501476492,93.87929573128258,31.677127509966493,4055.555555555555,175.98404172203607,92.7611883916852,30.97455512251125,4055.555555555555,172.08086179172918,90.70382225042046,967.0762041731678,509.7458672196767
2025-11-30 00:00:00+00:00,0.0833333333333333,2508.8,0.311111111111111,0.1639866666666666,54.57945286946179,2508.8,203.76329071265727,107.40363053464168,24.03944394885519,2508.8,89.74725740905936,47.3057793803152,16.836529884032114,2508.8,62.85637823371989,33.131596966993754,26.809589652096346,3733.333333333333,148.94216473386857,78.50741503122212,28.79122807017544,3733.333333333333,159.9512670565302,84.31031286549708,25.868361581920905,3733.333333333333,143.71311989956058,75.75118549905838,809.2845891565071,426.5739069443948
2025-12-31 00:00:00+00:00,0.0,2777.6,0.0,0.0,64.78333333333333,2777.6,241.85777777777776,127.48323466666666,27.866666666666667,2777.6,104.03555555555556,54.83714133333333,19.266666666666666,2777.6,71.92888888888888,37.91371733333333,35.85,4133.333333333333,199.16666666666663,104.98075,24.116666666666667,4133.333333333333,133.9814814814815,70.6216388888889,36.06666666666667,4133.333333333333,200.3703703703704,105.61522222222222,951.3407407407408,501.4517044444444
2026-01-31 00:00:00+00:00,0.0166666666666666,2777.6,0.0622222222222222,0.0327973333333333,64.23333333333333,2777.6,239.8044444444444,126.40092266666666,28.316666666666663,2777.6,105.71555555555554,55.72266933333333,19.58333333333333,2777.6,73.1111111111111,38.53686666666666,32.583333333333336,4133.333333333333,181.01851851851853,95.41486111111112,31.35,4133.333333333333,174.16666666666666,91.80325,32.63333333333333,4133.333333333333,181.2962962962963,95.56127777777778,955.1748148148148,503.4726448888889
2026-02-28 00:00:00+00:00,0.1333333333333333,2508.8,0.4977777777777777,0.2623786666666666,58.83333333333333,2508.8,219.6444444444444,115.77458666666666,25.75,2508.8,96.13333333333333,50.67188,17.983333333333334,2508.8,67.13777777777777,35.38832266666667,28.6,3733.333333333333,158.88888888888889,83.75033333333333,29.55,3733.333333333333,164.16666666666666,86.53225,29.26666666666667,3733.333333333333,162.59259259259258,85.70255555555555,869.0614814814815,458.08230688888887
2026-03-31 00:00:00+00:00,0.0,2777.6,0.0,0.0,63.556352871210926,2777.6,237.27705071918743,125.06873343408373,27.7885370205174,2777.6,103.74387154326492,54.68339469045495,19.20886699507389,2777.6,71.71310344827586,37.79997682758621,31.06428571428572,4133.333333333333,172.5793650793651,90.96658333333332,31.342230576441104,4133.333333333333,174.12350320245056,91.7804985380117,30.75889724310777,4133.333333333333,170.88276246170983,90.07230409356724,930.3196564542536,490.3714909170371
2026-04-30 00:00:00+00:00,0.0,2687.9999999999995,0.0,0.0,63.46666666666667,2687.9999999999995,236.9422222222222,124.89224533333332,27.45,2687.9999999999995,102.48,54.017208,18.666666666666668,2687.9999999999995,69.68888888888888,36.73301333333333,27.5,4000.0,152.77777777777777,80.52916666666667,32.31666666666667,4000.0,179.53703703703704,94.63397222222224,31.450000000000003,4000.0,174.72222222222223,92.09608333333333,916.148148148148,482.9016888888888
2026-05-31 00:00:00+00:00,0.0,903.4666666666666,0.0,0.0,21.73333333333333,903.4666666666666,81.13777777777777,42.76772266666666,9.316666666666666,903.4666666666666,34.78222222222222,18.33370933333333,6.866666666666667,903.4666666666666,25.635555555555552,13.512501333333333,4.633333333333334,1344.4444444444443,25.74074074074074,13.567944444444445,14.016666666666667,1344.4444444444443,77.87037037037037,41.04547222222222,13.7,1344.4444444444443,76.11111111111111,40.11816666666667,321.27777777777777,169.34551666666664
