hour,SSBF_AI1_runtime_h,SSBF_AI1_power_kW,SSBF_AI1_energy_kWh,SSBF_AI1_carbon_kg,SSBF_AI2_runtime_h,SSBF_AI2_power_kW,SSBF_AI2_energy_kWh,SSBF_AI2_carbon_kg,SSBF_AI3_runtime_h,SSBF_AI3_power_kW,SSBF_AI3_energy_kWh,SSBF_AI3_carbon_kg,SSBF_AI4_runtime_h,SSBF_AI4_power_kW,SSBF_AI4_energy_kWh,SSBF_AI4_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433333333333333,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-10 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916666666666666,0.0,0.0,0.0,0.0,0.0
2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5083333333333333,0.0,0.0,0.0,0.0,0.0
