hour,PAC1_flow_L_h,PAC1_runtime_h,PAC1_chemical_kg,PAC1_carbon_kg,PAC2_flow_L_h,PAC2_runtime_h,PAC2_chemical_kg,PAC2_carbon_kg,PAC3_flow_L_h,PAC3_runtime_h,PAC3_chemical_kg,PAC3_carbon_kg,PAC4_flow_L_h,PAC4_runtime_h,PAC4_chemical_kg,PAC4_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 03:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 04:00:00+00:00,0.7166666666666667,1.0,0.8958333333333334,0.4810625,0.7333333333333333,1.0,0.9166666666666666,0.49225,0.7166666666666667,1.0,0.8958333333333334,0.4810625,0.7166666666666667,1.0,0.8958333333333334,0.4810625,3.604166666666667,1.9354375000000004
2026-05-10 05:00:00+00:00,0.1666666666666666,1.0,0.2083333333333333,0.111875,0.0166666666666666,1.0,0.0208333333333333,0.0111875,0.15,1.0,0.1875,0.1006875,0.15,1.0,0.1875,0.1006875,0.6041666666666666,0.3244375
2026-05-10 06:00:00+00:00,0.6,1.0,0.75,0.40275,0.9333333333333332,1.0,1.1666666666666667,0.6265000000000001,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,4.416666666666667,2.3717500000000005
2026-05-10 07:00:00+00:00,0.9166666666666666,1.0,1.1458333333333333,0.6153125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,4.895833333333333,2.6290625000000003
2026-05-10 08:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 09:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 10:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 11:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 12:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 13:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 14:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 15:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 16:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 17:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 18:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 19:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 20:00:00+00:00,0.7333333333333333,1.0,0.9166666666666666,0.49225,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,4.666666666666666,2.506
2026-05-10 21:00:00+00:00,0.5833333333333334,1.0,0.7291666666666667,0.3915625000000001,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,4.479166666666667,2.4053125000000004
2026-05-10 22:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-10 23:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
2026-05-11 00:00:00+00:00,0.6833333333333333,1.0,0.8541666666666667,0.4586875000000001,0.6833333333333333,1.0,0.8541666666666667,0.4586875000000001,0.6833333333333333,1.0,0.8541666666666667,0.4586875000000001,0.6833333333333333,1.0,0.8541666666666667,0.4586875000000001,3.416666666666667,1.8347500000000003
2026-05-11 01:00:00+00:00,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,1.0,1.0,1.25,0.67125,5.0,2.685
