hour,TJB3_4_water_m3_h,TJB3_4_runtime_h,TJB3_4_active_cl_kg,TJB3_4_chemical_kg,TJB3_4_carbon_kg,TJB5_6_water_m3_h,TJB5_6_runtime_h,TJB5_6_active_cl_kg,TJB5_6_chemical_kg,TJB5_6_carbon_kg,TJB7_8_water_m3_h,TJB7_8_runtime_h,TJB7_8_active_cl_kg,TJB7_8_chemical_kg,TJB7_8_carbon_kg,TJB9_10_water_m3_h,TJB9_10_runtime_h,TJB9_10_active_cl_kg,TJB9_10_chemical_kg,TJB9_10_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,5501021.277458254,204.91638418079097,3131.139889013656,20874.265926757707,13359.53019312493,5504747.666510103,1.1833333333333331,18.095154297466667,120.63436198311112,77.20599166919112,7737658.722387006,703.016384180791,15110.275260048556,100735.1684003237,64470.50777620717,1489655.7981126634,706.266384180791,2922.482502113949,19483.21668075966,12469.258675686182,141213.28536982418,90376.50263668748
2025-07-31 00:00:00+00:00,4360909.0133865,1.8833333333333333,28.779834633533333,191.8655642235556,122.79396110307556,4363863.090963,0.0,0.0,0.0,0.0,6133992.9375,241.4,5184.74208125,34564.94720833333,22121.56621333333,1180917.700401,565.7633844842285,2340.4242589833616,15602.828393222411,9985.810171662342,50359.64116577929,32230.17034609875
2025-08-31 00:00:00+00:00,5684654.062128,0.0,0.0,0.0,0.0,5688504.843936,0.0,0.0,0.0,0.0,7995954.0,0.05,1.074725,7.164833333333333,4.585493333333333,1539382.8630720002,743.9333333333333,3078.489851078933,20523.26567385956,13134.890031270115,20530.43050719289,13139.475524603453
2025-09-30 00:00:00+00:00,5501278.12464,390.71129943502825,5970.587568421082,39803.917122807215,25474.50695859662,5505004.68768,0.0,0.0,0.0,0.0,7738020.0,0.0,0.0,0.0,0.0,1489725.3513600002,719.4,2976.9678271344005,19846.452180896,12701.729395773442,59650.36930370322,38176.23635437006
2025-10-31 00:00:00+00:00,5378136.088436394,127.66666666666669,1950.9162238306667,13006.108158871111,8323.909221677512,5381779.234718788,0.0,0.0,0.0,0.0,7564810.154166667,0.0,0.0,0.0,0.0,1456378.9532744396,478.95,1972.976852757718,13153.179018384786,8418.034571766264,26159.287177255897,16741.943793443774
2025-11-30 00:00:00+00:00,5134526.24832,34.15,521.857355298,3479.0490353200003,2226.5913826048,5138004.372479999,0.0166666666666666,0.254861328,1.69907552,1.0874083328000002,7222152.0,353.6333333333333,7601.171683333333,50674.47788888888,32431.66584888889,1390410.32928,69.33333333333333,286.9100679466667,1912.733786311111,1224.1496232391112,56067.95978604,35883.49426306559
2025-12-31 00:00:00+00:00,5684654.06064,321.78333333333336,4917.276700214,32781.844668093334,20980.380587579733,5688504.84096,3.0166666666666666,46.129900368,307.53266912,196.8209082368,7995954.0,738.15,15866.165174999998,105774.4345,67695.63807999999,1539382.86456,0.0,0.0,0.0,0.0,138863.81183721332,88872.83957581653
2026-01-31 00:00:00+00:00,1514634.305494,0.0,0.0,0.0,0.0,1515660.3176159998,0.0,0.0,0.0,0.0,2130463.191666667,681.2333333333333,4105.246496388889,27368.309975925924,17515.71838459259,410157.2533843333,14.083333333333334,0.0,0.0,0.0,27368.309975925924,17515.71838459259
2026-02-28 00:00:00+00:00,0.0,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31 00:00:00+00:00,0.0,144.36666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.5166666666667,0.0,0.0,0.0,0.0,511.5,0.0,0.0,0.0,0.0,0.0
2026-04-30 00:00:00+00:00,0.0,653.8833333333333,0.0,0.0,0.0,0.0,1.6833333333333331,0.0,0.0,0.0,0.0,718.7833333333333,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0
2026-05-31 00:00:00+00:00,0.0,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.08333333333331,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0
