summary_period,source_file,summary_level,process_stage,process_unit,row_count,start_time,end_time,electric_carbon_kg_sum,chemical_carbon_kg_sum,unit_total_carbon_kg_sum,stage_total_carbon_kg_latest,plant_total_carbon_kg_latest,unit_share_within_stage_avg,unit_share_of_plant_avg
latest_24h_hourly,hourly.csv,detail,03_预处理,预处理_加药间,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,26.017656000000006,59.65175,85.669406,4.710570000000001,597.383411888,0.9555155038723671,0.007707674299731591
latest_24h_hourly,hourly.csv,detail,03_预处理,预处理_配水井和预臭氧接触池,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,4.329749999999999,0.0,4.329749999999999,4.710570000000001,597.383411888,0.044484496127632896,0.0003714814841676
latest_24h_hourly,hourly.csv,total,TOTAL,TOTAL,48,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,30.347406000000003,59.65175000000001,89.999156,4.710570000000001,597.383411888,0.5,0.004039577891949596
latest_7d_daily,daily.csv,detail,03_预处理,预处理_加药间,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,157.97940000000006,379.88275,537.8621500000002,7.62964,1210.7864289749334,0.9494891372758202,0.006599407662583256
latest_7d_daily,daily.csv,detail,03_预处理,预处理_配水井和预臭氧接触池,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,22.119374999999998,0.0,22.119374999999998,7.62964,1210.7864289749334,0.05051086272417989,0.00034274001276334286
latest_7d_daily,daily.csv,total,TOTAL,TOTAL,14,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,180.09877500000002,379.88275,559.981525,7.62964,1210.7864289749334,0.5,0.0034710738376733
latest_5w_weekly,weekly.csv,detail,03_预处理,预处理_加药间,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,730.41,1303.6051645833331,2034.0151645833334,7.62964,1210.7864289749334,0.9330168100412661,0.00528977974973408
latest_5w_weekly,weekly.csv,detail,03_预处理,预处理_配水井和预臭氧接触池,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,100.6761,0.0,100.6761,7.62964,1210.7864289749334,0.06698318995873366,0.00036658951710462004
latest_5w_weekly,weekly.csv,total,TOTAL,TOTAL,10,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,831.0861,1303.6051645833331,2134.691264583333,7.62964,1210.7864289749334,0.4999999999999999,0.00282818463341935
latest_12m_monthly,monthly.csv,detail,03_预处理,预处理_加药间,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,8470.065977694916,11202.602350480769,19672.668328175685,921.8390575,137916.04252843573,0.9410585414906573,0.004160080547802526
latest_12m_monthly,monthly.csv,detail,03_预处理,预处理_配水井和预臭氧接触池,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,1194.247680551189,0.0,1194.247680551189,921.8390575,137916.04252843573,0.05894145850934248,0.0002458051862569417
latest_12m_monthly,monthly.csv,total,TOTAL,TOTAL,24,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,9664.313658246105,11202.602350480769,20866.916008726876,921.8390575,137916.04252843573,0.5,0.0022029428670297334
