rank,process_stage,process_unit,start_time,end_time,row_count,electric_carbon_kg_sum,chemical_carbon_kg_sum,unit_total_carbon_kg_sum,electric_carbon_t_sum
1,01_原水取水段,原水取水_原水提升泵房,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,70306.23424432857,0.0,70306.23424432857,70.30623424432858
2,02_供水段,清水处理_送水泵房,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,9037.4348720467,0.0,9037.4348720467,9.0374348720467
3,04_混凝沉淀,混凝沉淀_折板反应平流沉淀池,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,481.15947000000006,0.0,481.15947000000006,0.48115947000000003
4,03_预处理,预处理_加药间,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,157.97940000000006,379.88275,537.8621500000002,0.15797940000000005
5,06_深度处理,深度处理_次氯酸钠投加间,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,134.50537799999998,0.0,134.50537799999998,0.13450537799999998
6,05_过滤,过滤_砂滤反冲洗泵房,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,107.2078451111111,0.0,107.2078451111111,0.1072078451111111
7,01_原水取水段,原水取水_取水泵站,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,58.290594811715,0.0,58.290594811715,0.058290594811715
8,03_预处理,预处理_配水井和预臭氧接触池,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,22.119375,0.0,22.119375,0.022119375
9,01_原水取水段,原水取水_次氯酸钠间,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,0.0,82.72441680213333,82.72441680213333,0.0
10,06_深度处理,深度处理_主臭氧接触池,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7,0.0,0.0,0.0,0.0
