hour,A_actual_ozone_t_h,A_actual_ozone_kg,A_leak_rate,A_ozone_leak_kg,A_carbon_kgCO2e,B_phase2_AI9_leak_ppm,B_phase2_AI9_leak_mg_m3,B_phase2_AI9_exhaust_flow_m3_h,B_phase2_AI9_ozone_leak_kg,B_phase2_AI9_carbon_kgCO2e,B_phase2_AI33_leak_ppm,B_phase2_AI33_leak_mg_m3,B_phase2_AI33_exhaust_flow_m3_h,B_phase2_AI33_ozone_leak_kg,B_phase2_AI33_carbon_kgCO2e,B_total_ozone_leak_kg,B_total_carbon_kgCO2e,unit_total_chemical_kg,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,13.135786679378532,13135.786679378532,36.0,656.7893339689266,26.271573358757067,14.601215466666666,31.24660109866667,7200000,0.3124660109866667,0.0124986404394666,59.89527033559322,128.1758785181695,7200000,1.281758785181695,0.0512703514072678,1.5942247961683618,0.0637689918467344,658.383558765095,26.335342350603803
2025-07-31 00:00:00+00:00,10.41333375,10413.33375,28.55,520.6666875000001,20.826667500000006,7.677951398830945,16.430815993498225,5710000,0.1643081599349822,0.0065723263973992,0.6037723599144781,1.2920728502169831,5710000,0.0129207285021698,0.0005168291400867,0.177228888437152,0.007089155537486,520.8439163884373,20.83375665553749
2025-08-31 00:00:00+00:00,13.57428,13574.28,37.2,678.714,27.148560000000007,0.0007815,0.00167241,7440000,1.67241e-05,6.68964e-07,0.0136628,0.029238392,7440000,0.00029238392,1.16953568e-05,0.00030910802,1.23643208e-05,678.7143091080201,27.14857236432081
2025-09-30 00:00:00+00:00,13.1364,13136.4,36.0,656.82,26.272800000000007,0.0003375,0.00072225,7200000,7.222500000000001e-06,2.889e-07,0.0141184138418079,0.0302134056214689,7200000,0.0003021340562146,1.2085362248587572e-05,0.0003093565562146,1.2374262248587572e-05,656.8203093565563,26.27281237426225
2025-10-31 00:00:00+00:00,12.841340484463275,12841.340484463277,36.85,642.0670242231639,25.68268096892656,0.0010572446268566,0.0022625035014733,7370000,2.26250350147333e-05,9.05001400589332e-07,0.0167894055532908,0.0359293278840424,7370000,0.0003592932788404,1.4371731153616984e-05,0.0003819183138551,1.5276732554206315e-05,642.0674061414777,25.682696245659116
2025-11-30 00:00:00+00:00,12.25728,12257.28,33.6,612.8639999999999,24.51456,0.0072756262265834,0.0155698401248884,6720000,0.0001556984012488,6.227936049955398e-06,1.689689272970562,3.615935044157003,6720000,0.03615935044157,0.0014463740176628,0.0363150488428189,0.0014526019537127,612.9003150488428,24.51601260195371
2025-12-31 00:00:00+00:00,13.57056,13570.56,37.2,678.5279999999999,27.14112,0.0090105,0.01928247,7440000,0.0001928247,7.712988000000001e-06,0.8246091666666667,1.7646636166666667,7440000,0.0176466361666666,0.0007058654466666,0.0178394608666666,0.0007135784346666,678.5458394608667,27.141833578434667
2026-01-31 00:00:00+00:00,13.57056,13570.56,37.2,678.5279999999999,27.14112,0.1174223333333333,0.2512837933333333,7440000,0.0025128379333333,0.0001005135173333,3.4499405,7.38287267,7440000,0.0738287267,0.002953149068,0.0763415646333333,0.0030536625853333,678.6043415646333,27.14417366258533
2026-02-28 00:00:00+00:00,12.25728,12257.28,33.6,612.8639999999999,24.51456,0.3082103333333333,0.6595701133333334,6720000,0.0065957011333333,0.0002638280453333,1.3957761666666666,2.986960996666667,6720000,0.0298696099666666,0.0011947843986666,0.0364653111,0.001458612444,612.9004653111,24.516018612444
2026-03-31 00:00:00+00:00,13.57056,13570.56,37.2,678.5279999999999,27.14112,0.4444748070404172,0.9511760870664928,7440000,0.0095117608706649,0.0003804704348265,1.3359898138731952,2.859018201688638,7440000,0.0285901820168863,0.0011436072806754,0.0381019428875513,0.001524077715502,678.5661019428875,27.142644077715502
2026-04-30 00:00:00+00:00,13.1328,13132.8,36.0,656.64,26.2656,3.0068535,6.434666490000001,7200000,0.0643466649,0.002573866596,0.0226348333333333,0.0484385433333333,7200000,0.0004843854333333,1.937541733333333e-05,0.0648310503333333,0.0025932420133333,656.7048310503333,26.26819324201333
2026-05-31 00:00:00+00:00,4.41408,4414.08,12.1,220.704,8.82816,0.000573,0.00122622,2420000,1.22622e-05,4.904880000000001e-07,0.0102968333333333,0.0220352233333333,2420000,0.0002203522333333,8.814089333333334e-06,0.0002326144333333,9.304577333333334e-06,220.70423261443327,8.828169304577333
