period_start,chemical_total_kg,chemical_carbon_kg,sludge_transport_t,sludge_solid_rate,sludge_transport_distance_km,sludge_transport_carbon_kg,scope3_total_carbon_kg,chemical_share_of_scope3,sludge_transport_share_of_scope3
2025-06-30 00:00:00+00:00,177124.69495225442,151444.67479579433,529.5049999999999,0.2,109.5,6957.6956999999975,158402.37049579434,0.956075810745618,0.0439241892543819
2025-07-31 00:00:00+00:00,57064.19035444326,39733.40540879501,1072.715,0.2,109.5,14095.4751,53828.88050879502,0.738142889713321,0.2618571102866789
2025-08-31 00:00:00+00:00,23769.92212892069,14667.31313008996,474.885,0.2,109.5,6239.988899999999,20907.30203008996,0.7015402135091674,0.2984597864908325
2025-09-30 00:00:00+00:00,66058.71915152406,40895.54652713541,666.9100000000001,0.2,115.0,9203.358,50098.90452713541,0.816296222704528,0.183703777295472
2025-10-31 00:00:00+00:00,30471.61281624897,18773.785921918006,899.9000000000001,0.2,111.33333333333331,12022.664,30796.449921918007,0.6096087688521721,0.3903912311478279
2025-11-30 00:00:00+00:00,62026.89618367812,38430.80418357006,666.7950000000001,0.2,109.5,8761.686300000001,47192.49048357006,0.8143415147151355,0.1856584852848645
2025-12-31 00:00:00+00:00,149452.5419635348,92758.15982578616,759.44,0.2,115.0,10480.272,103238.43182578616,0.89848478115509,0.1015152188449099
2026-01-31 00:00:00+00:00,31760.898709341946,19616.92003869773,940.52,0.2,115.0,12979.175999999998,32596.09603869773,0.6018180832271673,0.3981819167728326
2026-02-28 00:00:00+00:00,4507.131685691351,2786.599584050797,448.6724137931035,0.2,109.5,5895.55551724138,8682.155101292177,0.320957130060492,0.679042869939508
2026-03-31 00:00:00+00:00,33730.140320589155,21538.99253295484,885.4100000000001,0.2,109.5,11634.2874,33173.27993295484,0.6492873956535627,0.3507126043464373
2026-04-30 00:00:00+00:00,1922.5111465727775,1099.8968351954668,610.9,0.2,115.0,8430.42,9530.316835195466,0.1154103115579061,0.884589688442094
2026-05-31 00:00:00+00:00,1378.447058545,762.6638883021333,10.623870967741937,0.2,115.0,146.6094193548387,909.273307656972,0.8387619892498287,0.1612380107501713
