chemical_type,period_start,total_chemical_kg,total_carbon_kg,plant_total_carbon_kg,chemical_share_of_total
NaClO,2026-04-19 00:00:00+00:00,153.6179337,98.315477568,169.52801715133336,0.5799364566402985
PAC,2026-04-19 00:00:00+00:00,132.61180555555555,71.21253958333334,169.52801715133336,0.4200635433597015
O3,2026-04-19 00:00:00+00:00,0.0,0.0,169.52801715133336,0.0
PAM,2026-04-19 00:00:00+00:00,0.0,0.0,169.52801715133336,0.0
PAC,2026-04-26 00:00:00+00:00,655.5625,352.0370625,452.7566673202667,0.7775414210542799
NaClO,2026-04-26 00:00:00+00:00,157.37438253166667,100.71960482026668,452.7566673202667,0.22245857894572
O3,2026-04-26 00:00:00+00:00,0.0,0.0,452.7566673202667,0.0
PAM,2026-04-26 00:00:00+00:00,0.0,0.0,452.7566673202667,0.0
PAM,2026-05-03 00:00:00+00:00,0.0,0.0,545.5579002402667,0.0
O3,2026-05-03 00:00:00+00:00,0.0,0.0,545.5579002402667,0.0
NaClO,2026-05-03 00:00:00+00:00,155.08587928166668,99.25496274026666,545.5579002402667,0.1819329583469586
PAC,2026-05-03 00:00:00+00:00,831.1041666666666,446.3029375,545.5579002402667,0.8180670416530412
PAC,2026-05-10 00:00:00+00:00,799.875,429.532875,525.4267267152,0.8174933880606005
NaClO,2026-05-10 00:00:00+00:00,149.834143305,95.8938517152,525.4267267152,0.1825066119393996
O3,2026-05-10 00:00:00+00:00,0.0,0.0,525.4267267152,0.0
PAM,2026-05-10 00:00:00+00:00,0.0,0.0,525.4267267152,0.0
PAC,2026-05-17 00:00:00+00:00,8.416666666666668,4.51975,5.8005216416000005,0.7791971617837606
NaClO,2026-05-17 00:00:00+00:00,2.00120569,1.2807716416,5.8005216416000005,0.2208028382162393
O3,2026-05-17 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
PAM,2026-05-17 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
