summary_period,source_file,summary_level,chemical_type,row_count,start_time,end_time,total_chemical_kg_sum,total_carbon_kg_sum,plant_total_carbon_kg_latest,chemical_share_of_total_avg
latest_24h_hourly,hourly.csv,detail,NaClO,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,21.06948074,13.484467673600001,3.379361888,0.1987657682103736
latest_24h_hourly,hourly.csv,detail,O3,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,3.379361888,0.0
latest_24h_hourly,hourly.csv,detail,PAC,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,111.08333333333334,59.65175,3.379361888,0.8012342317896265
latest_24h_hourly,hourly.csv,detail,PAM,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,3.379361888,0.0
latest_24h_hourly,hourly.csv,total,TOTAL,96,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,132.15281407333333,73.13621767360002,3.379361888,0.25
latest_7d_daily,daily.csv,detail,NaClO,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,129.25690125333333,82.72441680213333,5.8005216416000005,0.18439484095599507
latest_7d_daily,daily.csv,detail,O3,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
latest_7d_daily,daily.csv,detail,PAC,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,707.4166666666666,379.88275,5.8005216416000005,0.8156051590440049
latest_7d_daily,daily.csv,detail,PAM,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
latest_7d_daily,daily.csv,total,TOTAL,28,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,836.67356792,462.6071668021333,5.8005216416000005,0.24999999999999997
latest_5w_weekly,weekly.csv,detail,NaClO,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,617.9135445083334,395.46466848533333,5.8005216416000005,0.27752748881772316
latest_5w_weekly,weekly.csv,detail,O3,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
latest_5w_weekly,weekly.csv,detail,PAC,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,2427.570138888889,1303.6051645833331,5.8005216416000005,0.7224725111822767
latest_5w_weekly,weekly.csv,detail,PAM,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
latest_5w_weekly,weekly.csv,total,TOTAL,20,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,3045.483683397222,1699.0698330686666,5.8005216416000005,0.25
latest_12m_monthly,monthly.csv,detail,NaClO,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,573716.4459606067,367178.5254147884,762.6638883021333,0.7879077592251004
latest_12m_monthly,monthly.csv,detail,O3,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,27311.187493954072,7647.132498307141,762.6638883021333,0.01323335714101174
latest_12m_monthly,monthly.csv,detail,PAC,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,20861.456891025642,11202.602350480769,762.6638883021333,0.15937986522515168
latest_12m_monthly,monthly.csv,detail,PAM,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,17378.616125758053,56480.50240871368,762.6638883021333,0.039479018408736
latest_12m_monthly,monthly.csv,total,TOTAL,48,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,639267.7064713445,442508.76267228986,762.6638883021333,0.25
