scope月份,匹配水处理月份,总碳排放_kgCO2e,水处理量_m3,光伏发电量_kWh,光伏减排量_tCO2,光伏减排量_kgCO2,单位水处理碳排强度_kgCO2e_per_m3,单位水处理光伏减排强度_kgCO2_per_m3,扣减光伏后单位水处理强度_kgCO2e_per_m3,单位水处理碳排强度_tCO2e_per_万m3,单位水处理光伏减排量_tCO2_per_万m3,扣减光伏后单位水处理强度_tCO2e_per_万m3
2025-06-30 00:00:00+00:00,2024-06-30,481280.76393621694,10830908.2547731,104971.0,4.303811,4303.811,0.04443586379047391,0.00039736381278119887,0.044038499977692706,0.44435863790473906,0.003973638127811988,0.4403849997769271
2025-07-31 00:00:00+00:00,2024-07-31,357808.16983083554,11427245.401361572,132678.0,5.439798,5439.798,0.03131184789189897,0.00047603755839109227,0.03083581033350788,0.3131184789189897,0.004760375583910923,0.3083581033350788
2025-08-31 00:00:00+00:00,2024-08-31,454572.7405560181,11250989.082299078,109888.0,4.505408,4505.408,0.040402913666602605,0.0004004455045724162,0.04000246816203019,0.404029136666026,0.004004455045724162,0.40002468162030186
2025-09-30 00:00:00+00:00,2024-09-30,462661.9738940541,10651442.977694592,114462.0,4.692942,4692.942,0.04343655360714264,0.0004405921347771929,0.042995961472365445,0.43436553607142636,0.004405921347771929,0.42995961472365446
2025-10-31 00:00:00+00:00,2024-10-31,393213.05306871625,10871889.153130462,125362.0,5.139842,5139.842,0.036167868116599965,0.00047276438598714267,0.035695103730612826,0.36167868116599966,0.004727643859871427,0.35695103730612826
2025-11-30 00:00:00+00:00,2024-11-30,400058.7921243872,10130896.43298302,79383.0,3.254703,3254.703,0.039488982517077297,0.0003212650550255067,0.03916771746205179,0.394889825170773,0.0032126505502550673,0.3916771746205179
2025-12-31 00:00:00+00:00,2024-12-31,613687.0891991389,10064320.615800524,74976.0,3.074016,3074.016,0.060976504289388216,0.00030543701034066174,0.06067106727904756,0.6097650428938821,0.0030543701034066173,0.6067106727904756
2026-01-31 00:00:00+00:00,2024-01-31,497237.7301341737,10162882.359950883,67268.0,2.757988,2757.9880000000003,0.04892684107942157,0.00027137852258021507,0.048655462556841354,0.48926841079421574,0.0027137852258021507,0.48655462556841356
2026-02-28 00:00:00+00:00,2024-02-29,293779.3725298499,9617236.228475006,74982.0,3.074262,3074.262,0.03054717234250927,0.0003196616914636693,0.030227510651045602,0.30547172342509266,0.003196616914636693,0.302275106510456
2026-03-31 00:00:00+00:00,2024-03-31,577904.0122400369,10496939.821621897,77563.0,3.180083,3180.083,0.055054522752398145,0.0003029533420254134,0.054751569410372736,0.5505452275239815,0.0030295334202541336,0.5475156941037274
2026-04-30 00:00:00+00:00,2024-04-30,468745.770602129,10396605.995825406,73642.0,3.019322,3019.3219999999997,0.045086422510417966,0.00029041419875028073,0.04479600831166769,0.45086422510417967,0.0029041419875028072,0.4479600831166769
2026-05-31 00:00:00+00:00,2024-05-31,138071.48011709517,10931639.311124466,89712.0,3.678192,3678.192,0.012630446009738741,0.0003364721333475508,0.012293973876391188,0.1263044600973874,0.0033647213334755083,0.12293973876391188
