月份,月水处理量_m3,月光伏发电量_kWh,月减排量_tCO2
2024-01-31,10162882.359950885,67268.0,2.757988
2024-02-29,9617236.228475006,74982.0,3.074262
2024-03-31,10496939.821621895,77563.0,3.1800829999999998
2024-04-30,10396605.995825406,73642.0,3.019322
2024-05-31,10931639.311124466,89712.0,3.678192
2024-06-30,10830908.254773099,104971.0,4.303811
2024-07-31,11427245.401361572,132678.0,5.439798
2024-08-31,11250989.082299078,109888.0,4.505408
2024-09-30,10651442.977694592,114462.0,4.692942
2024-10-31,10871889.153130462,125362.0,5.139842
2024-11-30,10130896.43298302,79383.0,3.254703
2024-12-31,10064320.615800524,74976.0,3.074016
